Date,Sell
2020-08-26,28087.43
2020-08-27,28087.43
2020-08-28,28056.56
2020-08-29,28056.56
2020-08-30,28056.56
2020-08-31,28263.16
2020-09-01,28348.64
2020-09-02,28348.64
2020-09-03,28099.3
2020-09-04,28144.42
2020-09-05,28144.42
2020-09-06,28144.42
2020-09-07,28104.05
2020-09-08,28030.44
2020-09-09,27956.83
2020-09-10,28044.69
2020-09-11,28101.68
2020-09-12,28101.68
2020-09-13,28101.68
2020-09-14,28120.68
2020-09-15,28180.04
2020-09-16,28101.68
2020-09-17,27985.32
2020-09-18,28156.3
2020-09-19,28156.3
2020-09-20,28156.3
2020-09-21,28158.67
2020-09-22,27985.32
2020-09-23,27747.94
2020-09-24,27728.94
2020-09-25,27695.68
2020-09-26,27695.68
2020-09-27,27695.68
2020-09-28,27595.9
2020-09-29,27736.06
2020-09-30,27802.47
2020-10-01,27897.61
2020-10-02,27876.23
2020-10-03,27876.23
2020-10-04,27876.23
2020-10-05,27881.11
2020-10-06,28014.21
2020-10-07,27935.78
2020-10-08,27961.75
2020-10-09,27968.7
2020-10-10,27968.7
2020-10-11,27968.7
2020-10-12,28056.56
2020-10-13,28006.69
2020-10-14,27899.83
2020-10-15,27909.33
2020-10-16,27809.6
2020-10-17,27809.6
2020-10-18,27809.6
2020-10-19,27791.73
2020-10-20,27963.95
2020-10-21,28094.56
2020-10-22,28123.05
2020-10-23,28018.57
2020-10-24,28018.57
2020-10-25,28018.57
2020-10-26,28118.3
2020-10-27,28054.19
2020-10-28,27973.45
2020-10-29,27909.33
2020-10-30,27721.73
2020-10-31,27721.73
2020-11-01,27721.73
2020-11-02,27635.04
2020-11-03,27663.53
2020-11-04,27790.48
2020-11-05,27864.21
2020-11-06,28082.68
2020-11-07,28082.68
2020-11-08,28082.68
2020-11-09,28233.32
2020-11-10,28051.81
2020-11-11,28075.56
2020-11-12,27971.07
2020-11-13,28035.19
2020-11-14,28035.19
2020-11-15,28035.19
2020-11-16,28115.67
2020-11-17,28163.14
2020-11-18,28153.92
2020-11-19,28101.68
2020-11-20,28185.84
2020-11-21,28185.84
2020-11-22,28185.84
2020-11-23,28160.19
2020-11-24,28089.31
2020-11-25,28222.17
2020-11-26,28329.3
2020-11-27,28269.96
2020-11-28,28269.96
2020-11-29,28269.96
2020-11-30,28363.75
2020-12-01,28309.23
2020-12-02,28603.18
2020-12-03,28700.37
2020-12-04,28768.54
2020-12-05,28768.54
2020-12-06,28768.54
2020-12-07,28735.36
2020-12-08,28692.71
2020-12-09,28697.45
2020-12-10,28628.73
2020-12-11,28773.28
2020-12-12,28773.28
2020-12-13,28773.28
2020-12-14,28721.15
2020-12-15,28794.6
2020-12-16,28785.12
2020-12-17,28898.86
2020-12-18,29045.77
2020-12-19,29045.77
2020-12-20,29045.77
2020-12-21,28859.45
2020-12-22,28977.06
2020-12-23,28832.51
2020-12-24,28910.71
2020-12-25,28841.99
2020-12-26,28841.99
2020-12-27,28841.99
2020-12-28,28975.53
2020-12-29,29003.12
2020-12-30,29059.43
2020-12-31,29064.91
2021-01-01,29064.91
2021-01-02,29064.91
2021-01-03,29064.91
2021-01-04,28950.62
2021-01-05,29015.22
2021-01-06,29078.35
2021-01-07,29072.86
2021-01-08,28924.83
2021-01-09,28924.83
2021-01-10,28924.83
2021-01-11,28796.42
2021-01-12,28729.39
2021-01-13,28849.93
2021-01-14,28745.94
2021-01-15,28727.03
2021-01-16,28727.03
2021-01-17,28727.03
2021-01-18,28537.96
2021-01-19,28471.21
2021-01-20,28579.5
2021-01-21,28506.52
2021-01-22,28661.04
2021-01-23,28661.04
2021-01-24,28661.04
2021-01-25,28640.71
2021-01-26,28565.38
2021-01-27,28636.0
2021-01-28,28454.17
2021-01-29,28474.76
2021-01-30,28474.76
2021-01-31,28474.76
2021-02-01,28514.14
2021-02-02,28383.69
2021-02-03,28297.31
2021-02-04,28273.29
2021-02-05,28053.93
2021-02-06,28053.93
2021-02-07,28053.93
2021-02-08,28202.53
2021-02-09,28497.68
2021-02-10,28497.68
2021-02-11,28497.68
2021-02-12,28497.68
2021-02-13,28497.68
2021-02-14,28497.68
2021-02-15,28497.68
2021-02-16,28497.68
2021-02-17,28340.27
2021-02-18,28267.51
2021-02-19,28403.36
2021-02-20,28403.36
2021-02-21,28403.36
2021-02-22,28484.7
2021-02-23,28581.67
2021-02-24,28567.57
2021-02-25,28566.92
2021-02-26,28538.08
2021-02-27,28538.08
2021-02-28,28538.08
2021-03-01,28393.09
2021-03-02,28294.96
2021-03-03,28407.77
2021-03-04,28327.31
2021-03-05,28103.65
2021-03-06,28103.65
2021-03-07,28103.65
2021-03-08,27943.19
2021-03-09,27858.51
2021-03-10,27931.43
2021-03-11,28030.21
2021-03-12,28185.45
2021-03-13,28185.45
2021-03-14,28185.45
2021-03-15,28137.34
2021-03-16,28098.28
2021-03-17,28021.57
2021-03-18,28209.9
2021-03-19,28028.63
2021-03-20,28028.63
2021-03-21,28028.63
2021-03-22,28000.74
2021-03-23,28099.65
2021-03-24,27875.61
2021-03-25,27834.05
2021-03-26,27747.67
2021-03-27,27747.67
2021-03-28,27747.67
2021-03-29,27727.3
2021-03-30,27703.75
2021-03-31,27609.78
2021-04-01,27604.88
2021-04-02,27724.94
2021-04-03,27724.94
2021-04-04,27724.94
2021-04-05,27694.34
2021-04-06,27831.43
2021-04-07,27965.74
2021-04-08,27956.31
2021-04-09,27990.96
2021-04-10,27990.96
2021-04-11,27990.96
2021-04-12,27976.84
2021-04-13,28023.92
2021-04-14,28153.82
2021-04-15,28219.32
2021-04-16,28174.59
2021-04-17,28174.59
2021-04-18,28174.59
2021-04-19,28204.24
2021-04-20,28354.01
2021-04-21,28354.01
2021-04-22,28340.81
2021-04-23,28276.75
2021-04-24,28276.75
2021-04-25,28276.75
2021-04-26,28484.17
2021-04-27,28406.55
2021-04-28,28411.26
2021-04-29,28538.27
2021-04-30,28538.27
2021-05-01,28538.27
2021-05-02,28538.27
2021-05-03,28538.27
2021-05-04,28367.1
2021-05-05,28289.94
2021-05-06,28235.33
2021-05-07,28398.23
2021-05-08,28398.23
2021-05-09,28398.23
2021-05-10,28623.59
2021-05-11,28553.0
2021-05-12,28553.0
2021-05-13,28451.24
2021-05-14,28474.76
2021-05-15,28474.76
2021-05-16,28474.76
